Location,Bad signal ,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
brooklyn,,13%,80%,6%,Possible problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:51:59
bronx,,13%,80%,6%,Possible problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:51:59
new-york,,13%,80%,6%,Possible problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:51:59
corona,,13%,80%,6%,Possible problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:51:59
stamford,,13%,80%,6%,Possible problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:51:59
newark,,13%,80%,6%,Possible problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:51:59
bayonne,,13%,80%,6%,Possible problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:51:59
bridgeport,,13%,80%,6%,Possible problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:51:59
new-rochelle,,13%,80%,6%,Possible problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:51:59
wayne,,13%,80%,6%,Possible problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:51:59
