Location,no tv ,limited channels ,Status,Provider,Source,Date collected,Time collected
denver,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:16
tucson,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:16
seattle,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:16
portland,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:16
albuquerque,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:16
dallas,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:16
phoenix,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:16
colorado-springs,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:16
irving,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:16
lincoln,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:16
