Location,phone ,no signal ,mobile internet ,Status,Provider,Source,Date collected,Time collected
los-angeles,24%,26%,49%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,11:54:55
houston,24%,26%,49%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,11:54:55
new-york,24%,26%,49%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,11:54:55
el-centro,24%,26%,49%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,11:54:55
chicago,24%,26%,49%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,11:54:55
brooklyn,24%,26%,49%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,11:54:55
pompano-beach,24%,26%,49%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,11:54:55
salt-lake-city,24%,26%,49%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,11:54:55
dallas,24%,26%,49%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,11:54:55
seattle,24%,26%,49%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,11:54:55
