Location,Bad signal ,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
sumter,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:55:48
burnsville,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:55:48
preston,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:55:48
madison,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:55:48
cedar-rapids,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:55:48
marion,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:55:48
bedford,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:55:48
monticello,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:55:48
waterloo,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:55:48
spruce-pine,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:55:48
