Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:16
evington,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:16
bethel,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:16
cumberland,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:16
bedford,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:16
johnstown,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:16
bradford,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:16
randallstown,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:16
bowie,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:16
lexington-park,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:16
