Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Los Angeles, CA",280, No problems detected ,9.29%,3.61%,Thu 21 Mar 2019 13:34:17,Frontier,Is the service down,4.90%,71.35%,5.68%,5.16%
"Dallas, TX",229, No problems detected ,9.29%,3.61%,Thu 21 Mar 2019 13:34:17,Frontier,Is the service down,4.90%,71.35%,5.68%,5.16%
"Chicago, IL",136, No problems detected ,9.29%,3.61%,Thu 21 Mar 2019 13:34:17,Frontier,Is the service down,4.90%,71.35%,5.68%,5.16%
"Seattle, WA",124, No problems detected ,9.29%,3.61%,Thu 21 Mar 2019 13:34:17,Frontier,Is the service down,4.90%,71.35%,5.68%,5.16%
"Tampa, FL",109, No problems detected ,9.29%,3.61%,Thu 21 Mar 2019 13:34:17,Frontier,Is the service down,4.90%,71.35%,5.68%,5.16%
"Orlando, FL",70, No problems detected ,9.29%,3.61%,Thu 21 Mar 2019 13:34:17,Frontier,Is the service down,4.90%,71.35%,5.68%,5.16%
"Portland, OR",61, No problems detected ,9.29%,3.61%,Thu 21 Mar 2019 13:34:17,Frontier,Is the service down,4.90%,71.35%,5.68%,5.16%
"Detroit, MI",61, No problems detected ,9.29%,3.61%,Thu 21 Mar 2019 13:34:17,Frontier,Is the service down,4.90%,71.35%,5.68%,5.16%
"Irvine, CA",54, No problems detected ,9.29%,3.61%,Thu 21 Mar 2019 13:34:17,Frontier,Is the service down,4.90%,71.35%,5.68%,5.16%
"Whittier, CA",50, No problems detected ,9.29%,3.61%,Thu 21 Mar 2019 13:34:17,Frontier,Is the service down,4.90%,71.35%,5.68%,5.16%
"Fullerton, CA",48, No problems detected ,9.29%,3.61%,Thu 21 Mar 2019 13:34:17,Frontier,Is the service down,4.90%,71.35%,5.68%,5.16%
"Riverside, CA",45, No problems detected ,9.29%,3.61%,Thu 21 Mar 2019 13:34:17,Frontier,Is the service down,4.90%,71.35%,5.68%,5.16%
"Long Beach, CA",40, No problems detected ,9.29%,3.61%,Thu 21 Mar 2019 13:34:17,Frontier,Is the service down,4.90%,71.35%,5.68%,5.16%
"Brooklyn, NY",36, No problems detected ,9.29%,3.61%,Thu 21 Mar 2019 13:34:17,Frontier,Is the service down,4.90%,71.35%,5.68%,5.16%
"Fort Worth, TX",32, No problems detected ,9.29%,3.61%,Thu 21 Mar 2019 13:34:17,Frontier,Is the service down,4.90%,71.35%,5.68%,5.16%
"Tacoma, WA",32, No problems detected ,9.29%,3.61%,Thu 21 Mar 2019 13:34:17,Frontier,Is the service down,4.90%,71.35%,5.68%,5.16%
"Ontario, CA",31, No problems detected ,9.29%,3.61%,Thu 21 Mar 2019 13:34:17,Frontier,Is the service down,4.90%,71.35%,5.68%,5.16%
"New York City, NY",29, No problems detected ,9.29%,3.61%,Thu 21 Mar 2019 13:34:17,Frontier,Is the service down,4.90%,71.35%,5.68%,5.16%
"Irving, TX",28, No problems detected ,9.29%,3.61%,Thu 21 Mar 2019 13:34:17,Frontier,Is the service down,4.90%,71.35%,5.68%,5.16%
