Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
sumter,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:11
burnsville,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:11
preston,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:11
madison,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:11
cedar-rapids,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:11
marion,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:11
bedford,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:11
monticello,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:11
waterloo,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:11
spruce-pine,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:11
