Location,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:13:25
sumter,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:13:25
houston,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:13:25
chicago,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:13:25
atlanta,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:13:25
los-angeles,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:13:25
phoenix,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:13:25
milwaukee,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:13:25
orlando,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:13:25
new-york,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:13:25
