Location,online viewing ,no signal ,bad signal ,Status,Provider,Source,Date collected,Time collected
denver,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:16
albuquerque,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:16
seattle,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:16
chicago,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:16
spokane,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:16
phoenix,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:16
portland,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:16
minneapolis,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:16
boise,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:16
kennewick,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:16
