Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Denver, CO",524, No problems detected ,8.62%,.87%,Thu 21 Mar 2019 11:54:55,CenturyLink,Is the service down,3.26%,75.27%,8.26%,3.72%
"Seattle, WA",334, No problems detected ,8.62%,.87%,Thu 21 Mar 2019 11:54:55,CenturyLink,Is the service down,3.26%,75.27%,8.26%,3.72%
"Portland, OR",282, No problems detected ,8.62%,.87%,Thu 21 Mar 2019 11:54:55,CenturyLink,Is the service down,3.26%,75.27%,8.26%,3.72%
"Minneapolis, MN",268, No problems detected ,8.62%,.87%,Thu 21 Mar 2019 11:54:55,CenturyLink,Is the service down,3.26%,75.27%,8.26%,3.72%
"Omaha, NE",259, No problems detected ,8.62%,.87%,Thu 21 Mar 2019 11:54:55,CenturyLink,Is the service down,3.26%,75.27%,8.26%,3.72%
"Dallas, TX",246, No problems detected ,8.62%,.87%,Thu 21 Mar 2019 11:54:55,CenturyLink,Is the service down,3.26%,75.27%,8.26%,3.72%
"Salt Lake City, UT",228, No problems detected ,8.62%,.87%,Thu 21 Mar 2019 11:54:55,CenturyLink,Is the service down,3.26%,75.27%,8.26%,3.72%
"Chicago, IL",210, No problems detected ,8.62%,.87%,Thu 21 Mar 2019 11:54:55,CenturyLink,Is the service down,3.26%,75.27%,8.26%,3.72%
"Los Angeles, CA",206, No problems detected ,8.62%,.87%,Thu 21 Mar 2019 11:54:55,CenturyLink,Is the service down,3.26%,75.27%,8.26%,3.72%
"Phoenix, AZ",147, No problems detected ,8.62%,.87%,Thu 21 Mar 2019 11:54:55,CenturyLink,Is the service down,3.26%,75.27%,8.26%,3.72%
"Des Moines, IA",135, No problems detected ,8.62%,.87%,Thu 21 Mar 2019 11:54:55,CenturyLink,Is the service down,3.26%,75.27%,8.26%,3.72%
"Tacoma, WA",122, No problems detected ,8.62%,.87%,Thu 21 Mar 2019 11:54:55,CenturyLink,Is the service down,3.26%,75.27%,8.26%,3.72%
"Albuquerque, NM",95, No problems detected ,8.62%,.87%,Thu 21 Mar 2019 11:54:55,CenturyLink,Is the service down,3.26%,75.27%,8.26%,3.72%
"Las Vegas, NV",80, No problems detected ,8.62%,.87%,Thu 21 Mar 2019 11:54:55,CenturyLink,Is the service down,3.26%,75.27%,8.26%,3.72%
"Houston, TX",78, No problems detected ,8.62%,.87%,Thu 21 Mar 2019 11:54:55,CenturyLink,Is the service down,3.26%,75.27%,8.26%,3.72%
"Saint Paul, MN",73, No problems detected ,8.62%,.87%,Thu 21 Mar 2019 11:54:55,CenturyLink,Is the service down,3.26%,75.27%,8.26%,3.72%
