Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:11
bronx,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:11
new-york,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:11
corona,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:11
stamford,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:11
newark,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:11
bayonne,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:11
bridgeport,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:11
new-rochelle,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:11
wayne,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:11
