Location,Bad signal ,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
denver,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:51:59
minneapolis,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:51:59
phoenix,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:51:59
seattle,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:51:59
portland,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:51:59
albuquerque,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:51:59
dallas,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:51:59
boise,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:51:59
des-moines,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:51:59
saint-paul,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:51:59
