Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Seattle, WA",52, Problems detected ,.67%,76.25%,Thu 21 Mar 2019 11:54:55,DirecTV,Is the service down,2.68%,7.02%,1.67%,11.71%
"Los Angeles, CA",43, Problems detected ,.67%,76.25%,Thu 21 Mar 2019 11:54:55,DirecTV,Is the service down,2.68%,7.02%,1.67%,11.71%
"Minneapolis, MN",35, Problems detected ,.67%,76.25%,Thu 21 Mar 2019 11:54:55,DirecTV,Is the service down,2.68%,7.02%,1.67%,11.71%
"Las Vegas, NV",35, Problems detected ,.67%,76.25%,Thu 21 Mar 2019 11:54:55,DirecTV,Is the service down,2.68%,7.02%,1.67%,11.71%
"Chicago, IL",33, Problems detected ,.67%,76.25%,Thu 21 Mar 2019 11:54:55,DirecTV,Is the service down,2.68%,7.02%,1.67%,11.71%
"Dallas, TX",27, Problems detected ,.67%,76.25%,Thu 21 Mar 2019 11:54:55,DirecTV,Is the service down,2.68%,7.02%,1.67%,11.71%
"Houston, TX",26, Problems detected ,.67%,76.25%,Thu 21 Mar 2019 11:54:55,DirecTV,Is the service down,2.68%,7.02%,1.67%,11.71%
"Phoenix, AZ",25, Problems detected ,.67%,76.25%,Thu 21 Mar 2019 11:54:55,DirecTV,Is the service down,2.68%,7.02%,1.67%,11.71%
"Albuquerque, NM",23, Problems detected ,.67%,76.25%,Thu 21 Mar 2019 11:54:55,DirecTV,Is the service down,2.68%,7.02%,1.67%,11.71%
"Saint Paul, MN",20, Problems detected ,.67%,76.25%,Thu 21 Mar 2019 11:54:55,DirecTV,Is the service down,2.68%,7.02%,1.67%,11.71%
"Boise, ID",19, Problems detected ,.67%,76.25%,Thu 21 Mar 2019 11:54:55,DirecTV,Is the service down,2.68%,7.02%,1.67%,11.71%
"Denver, CO",19, Problems detected ,.67%,76.25%,Thu 21 Mar 2019 11:54:55,DirecTV,Is the service down,2.68%,7.02%,1.67%,11.71%
"San Antonio, TX",18, Problems detected ,.67%,76.25%,Thu 21 Mar 2019 11:54:55,DirecTV,Is the service down,2.68%,7.02%,1.67%,11.71%
"Columbus, OH",18, Problems detected ,.67%,76.25%,Thu 21 Mar 2019 11:54:55,DirecTV,Is the service down,2.68%,7.02%,1.67%,11.71%
