Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,18%,81%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,11:54:55
evington,18%,81%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,11:54:55
bethel,18%,81%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,11:54:55
cumberland,18%,81%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,11:54:55
bedford,18%,81%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,11:54:55
johnstown,18%,81%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,11:54:55
bradford,18%,81%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,11:54:55
randallstown,18%,81%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,11:54:55
bowie,18%,81%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,11:54:55
lexington-park,18%,81%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,11:54:55
