Location,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
tampa,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:27:17
dallas,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:27:17
los-angeles,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:27:17
long-beach,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:27:17
carrollton,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:27:17
chicago,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:27:17
fort-wayne,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:27:17
plano,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:27:17
sarasota,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:27:17
portland,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:27:17
