Location,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:08
sumter,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:08
houston,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:08
chicago,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:08
atlanta,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:08
los-angeles,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:08
phoenix,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:08
milwaukee,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:08
orlando,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:08
new-york,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:08
