Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
sumter,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:13:25
burnsville,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:13:25
preston,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:13:25
madison,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:13:25
cedar-rapids,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:13:25
marion,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:13:25
bedford,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:13:25
monticello,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:13:25
waterloo,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:13:25
spruce-pine,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:13:25
