Location,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
denver,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:16
minneapolis,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:16
phoenix,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:16
seattle,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:16
portland,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:16
albuquerque,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:16
dallas,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:16
boise,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:16
des-moines,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:16
saint-paul,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:16
