Location,Bad signal ,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:48:46
sumter,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:48:46
houston,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:48:46
chicago,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:48:46
atlanta,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:48:46
los-angeles,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:48:46
phoenix,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:48:46
milwaukee,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:48:46
orlando,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:48:46
new-york,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:48:46
