Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
chicago,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:28:14
new-york,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:28:14
dallas,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:28:14
houston,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:28:14
san-marcos,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:28:14
kansas-city,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:28:14
los-angeles,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:28:14
brooklyn,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:28:14
saint-louis,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:28:14
grand-junction,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:28:14
