Location,Bad signal ,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
dallas,,7%,73%,18%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:53:05
chicago,,7%,73%,18%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:53:05
los-angeles,,7%,73%,18%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:53:05
houston,,7%,73%,18%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:53:05
brooklyn,,7%,73%,18%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:53:05
milwaukee,,7%,73%,18%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:53:05
new-york,,7%,73%,18%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:53:05
saint-louis,,7%,73%,18%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:53:05
dayton,,7%,73%,18%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:53:05
medford,,7%,73%,18%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,13:53:05
