Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
chicago,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:10:49
allentown,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:10:49
bethlehem,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:10:49
new-york,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:10:49
washington,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:10:49
easton,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:10:49
corona,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:10:49
northampton,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:10:49
whitehall,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:10:49
somerville,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:10:49
