Location,Bad signal ,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
denver,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:51
minneapolis,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:51
phoenix,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:51
seattle,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:51
portland,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:51
albuquerque,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:51
dallas,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:51
boise,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:51
des-moines,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:51
saint-paul,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:51
