Location,phone ,internet ,Status,Provider,Source,Date collected,Time collected
lincoln,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:16
concord,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:16
lexington,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:16
atlanta,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:16
norcross,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:16
houston,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:16
grayson,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:16
dallas,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:16
blairsville,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:16
chicago,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:16
