Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
chicago,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:13:25
new-york,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:13:25
dallas,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:13:25
houston,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:13:25
san-marcos,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:13:25
kansas-city,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:13:25
los-angeles,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:13:25
brooklyn,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:13:25
saint-louis,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:13:25
phoenix,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:13:25
