Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
norcross,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:37:59
houston,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:37:59
brooklyn,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:37:59
phoenix,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:37:59
dayton,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:37:59
tampa,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:37:59
sumter,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:37:59
greenville,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:37:59
garland,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:37:59
tempe,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:37:59
