Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Houston, TX",427, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"San Antonio, TX",251, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Chicago, IL",191, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Dallas, TX",148, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Washington, D.C., DC",130, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Atlanta, GA",96, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Los Angeles, CA",85, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Detroit, MI",80, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Orlando, FL",74, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Brooklyn, NY",68, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Nashville, TN",66, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"St. Louis, MO",65, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Denver, CO",64, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"New York City, NY",56, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Charlotte, NC",53, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Phoenix, AZ",53, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Kansas City, MO",51, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Austin, TX",49, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Omaha, NE",49, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Spring, TX",47, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"San Diego, CA",46, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Columbus, OH",43, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Tampa, FL",42, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Portland, OR",42, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Minneapolis, MN",40, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Fort Worth, TX",33, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Indianapolis, IN",31, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Philadelphia, PA",30, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Miami, FL",29, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"Pittsburgh, PA",24, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
"New Orleans, LA",24, Problems detected ,44.35%,.75%,Thu 21 Mar 2019 13:13:25,Sprint,Is the service down,6.82%,37.72%,3.45%,6.91%
