Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
sumter,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:10:49
burnsville,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:10:49
preston,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:10:49
madison,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:10:49
cedar-rapids,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:10:49
marion,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:10:49
bedford,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:10:49
monticello,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:10:49
waterloo,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:10:49
spruce-pine,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:10:49
