Location,Bad signal ,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
denver,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:05
minneapolis,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:05
phoenix,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:05
seattle,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:05
portland,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:05
albuquerque,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:05
dallas,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:05
boise,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:05
des-moines,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:05
saint-paul,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:53:05
