Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
dallas,7%,72%,19%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:15:02
chicago,7%,72%,19%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:15:02
los-angeles,7%,72%,19%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:15:02
houston,7%,72%,19%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:15:02
brooklyn,7%,72%,19%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:15:02
milwaukee,7%,72%,19%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:15:02
new-york,7%,72%,19%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:15:02
saint-louis,7%,72%,19%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:15:02
dayton,7%,72%,19%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:15:02
medford,7%,72%,19%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:15:02
