Location,Bad signal ,internet ,Status,Provider,Source,Date collected,Time collected
boise,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:55:48
houston,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:55:48
phoenix,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:55:48
meridian,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:55:48
idaho-falls,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:55:48
pocatello,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:55:48
rio-rancho,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:55:48
sioux-city,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:55:48
prescott,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:55:48
dallas,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:55:48
