Location,internet ,Status,Provider,Source,Date collected,Time collected
huntsville,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:27:17
charlotte,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:27:17
atlanta,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:27:17
madison,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:27:17
kansas-city,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:27:17
orlando,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:27:17
phenix-city,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:27:17
saint-louis,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:27:17
houston,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:27:17
dayton,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:27:17
