Location,Bad signal ,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
chicago,,36%,11%,52%,Possible problems,Sprint,Down detector,Thu 21 Mar 2019,19:12:30
new-york,,36%,11%,52%,Possible problems,Sprint,Down detector,Thu 21 Mar 2019,19:12:30
dallas,,36%,11%,52%,Possible problems,Sprint,Down detector,Thu 21 Mar 2019,19:12:30
houston,,36%,11%,52%,Possible problems,Sprint,Down detector,Thu 21 Mar 2019,19:12:30
san-marcos,,36%,11%,52%,Possible problems,Sprint,Down detector,Thu 21 Mar 2019,19:12:30
kansas-city,,36%,11%,52%,Possible problems,Sprint,Down detector,Thu 21 Mar 2019,19:12:30
los-angeles,,36%,11%,52%,Possible problems,Sprint,Down detector,Thu 21 Mar 2019,19:12:30
brooklyn,,36%,11%,52%,Possible problems,Sprint,Down detector,Thu 21 Mar 2019,19:12:30
saint-louis,,36%,11%,52%,Possible problems,Sprint,Down detector,Thu 21 Mar 2019,19:12:30
grand-junction,,36%,11%,52%,Possible problems,Sprint,Down detector,Thu 21 Mar 2019,19:12:30
