Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:08
bronx,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:08
new-york,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:08
corona,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:08
stamford,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:08
newark,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:08
bayonne,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:08
bridgeport,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:08
new-rochelle,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:08
wayne,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:12:08
