Location,Bad signal ,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:45:56
sumter,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:45:56
houston,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:45:56
chicago,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:45:56
atlanta,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:45:56
los-angeles,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:45:56
phoenix,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:45:56
milwaukee,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:45:56
orlando,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:45:56
new-york,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:45:56
