Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
dallas,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:08
chicago,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:08
los-angeles,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:08
houston,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:08
brooklyn,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:08
milwaukee,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:08
new-york,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:08
saint-louis,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:08
dayton,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:08
medford,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:08
