Location,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,26%,22%,51%,No problems,att,Down detector,Thu 21 Mar 2019,11:54:55
sumter,26%,22%,51%,No problems,att,Down detector,Thu 21 Mar 2019,11:54:55
houston,26%,22%,51%,No problems,att,Down detector,Thu 21 Mar 2019,11:54:55
chicago,26%,22%,51%,No problems,att,Down detector,Thu 21 Mar 2019,11:54:55
atlanta,26%,22%,51%,No problems,att,Down detector,Thu 21 Mar 2019,11:54:55
los-angeles,26%,22%,51%,No problems,att,Down detector,Thu 21 Mar 2019,11:54:55
phoenix,26%,22%,51%,No problems,att,Down detector,Thu 21 Mar 2019,11:54:55
milwaukee,26%,22%,51%,No problems,att,Down detector,Thu 21 Mar 2019,11:54:55
orlando,26%,22%,51%,No problems,att,Down detector,Thu 21 Mar 2019,11:54:55
new-york,26%,22%,51%,No problems,att,Down detector,Thu 21 Mar 2019,11:54:55
