Location,Reports,Status,E-mail,TV,Date/Time collected,Provider,Source,Phone,Internet,Wi-fi,Total Blackout
"Los Angeles, CA",2669, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Dallas, TX",1918, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Chicago, IL",1785, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Charlotte, NC",1485, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Detroit, MI",1465, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Brooklyn, NY",1152, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Orlando, FL",1020, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Atlanta, GA",802, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Cleveland, OH",749, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Columbus, OH",714, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Houston, TX",704, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Buffalo, NY",647, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Austin, TX",601, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"New York City, NY",579, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Tampa, FL",577, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Milwaukee, WI",519, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Minneapolis, MN",458, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
"Louisville, KY",456, Problems detected ,4.76%,17.25%,Thu 21 Mar 2019 19:12:30,charter-communications,Is the service down,2.05%,62.96%,6.23%,6.76%
