Location,Bad signal ,Status,Provider,Source,Date collected,Time collected
san-francisco,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:32
toledo,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:32
coalville,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:32
san-marcos,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:32
riverside,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:32
san-diego,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:32
petaluma,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:32
littleton,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:32
urbana,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:32
milwaukee,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:32
