Location,Bad signal ,mobile phone ,landline internet ,mobile internet ,Status,Provider,Source,Date collected,Time collected
naples,,52%,9%,37%,Possible problems,Verizon,Down detector,Thu 21 Mar 2019,13:55:48
new-york,,52%,9%,37%,Possible problems,Verizon,Down detector,Thu 21 Mar 2019,13:55:48
philadelphia,,52%,9%,37%,Possible problems,Verizon,Down detector,Thu 21 Mar 2019,13:55:48
marco-island,,52%,9%,37%,Possible problems,Verizon,Down detector,Thu 21 Mar 2019,13:55:48
brooklyn,,52%,9%,37%,Possible problems,Verizon,Down detector,Thu 21 Mar 2019,13:55:48
charlotte,,52%,9%,37%,Possible problems,Verizon,Down detector,Thu 21 Mar 2019,13:55:48
sumter,,52%,9%,37%,Possible problems,Verizon,Down detector,Thu 21 Mar 2019,13:55:48
atlanta,,52%,9%,37%,Possible problems,Verizon,Down detector,Thu 21 Mar 2019,13:55:48
tampa,,52%,9%,37%,Possible problems,Verizon,Down detector,Thu 21 Mar 2019,13:55:48
indianapolis,,52%,9%,37%,Possible problems,Verizon,Down detector,Thu 21 Mar 2019,13:55:48
