Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
dallas,7%,68%,23%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,11:54:55
chicago,7%,68%,23%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,11:54:55
los-angeles,7%,68%,23%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,11:54:55
houston,7%,68%,23%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,11:54:55
brooklyn,7%,68%,23%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,11:54:55
milwaukee,7%,68%,23%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,11:54:55
new-york,7%,68%,23%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,11:54:55
saint-louis,7%,68%,23%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,11:54:55
dayton,7%,68%,23%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,11:54:55
medford,7%,68%,23%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,11:54:55
