Location,Bad signal ,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
tampa,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:32
dallas,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:32
los-angeles,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:32
long-beach,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:32
carrollton,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:32
chicago,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:32
fort-wayne,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:32
plano,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:32
sarasota,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:32
portland,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:32
