Location,Bad signal ,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
denver,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:55:48
minneapolis,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:55:48
phoenix,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:55:48
seattle,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:55:48
portland,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:55:48
albuquerque,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:55:48
dallas,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:55:48
boise,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:55:48
des-moines,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:55:48
saint-paul,,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:55:48
