Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
chicago,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:12:08
allentown,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:12:08
bethlehem,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:12:08
new-york,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:12:08
washington,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:12:08
easton,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:12:08
corona,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:12:08
northampton,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:12:08
whitehall,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:12:08
somerville,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:12:08
