Location,Status,Provider,Source,Date collected,Time collected
san-francisco,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:28:14
toledo,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:28:14
coalville,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:28:14
san-marcos,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:28:14
riverside,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:28:14
san-diego,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:28:14
petaluma,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:28:14
littleton,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:28:14
urbana,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:28:14
milwaukee,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:28:14
