Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
chicago,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:36:46
allentown,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:36:46
bethlehem,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:36:46
new-york,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:36:46
washington,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:36:46
easton,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:36:46
corona,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:36:46
northampton,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:36:46
whitehall,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:36:46
somerville,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:36:46
