Location,Bad signal ,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:51:59
sumter,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:51:59
houston,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:51:59
chicago,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:51:59
atlanta,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:51:59
los-angeles,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:51:59
phoenix,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:51:59
milwaukee,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:51:59
orlando,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:51:59
new-york,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:51:59
