Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
chicago,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:27:17
allentown,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:27:17
bethlehem,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:27:17
new-york,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:27:17
washington,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:27:17
easton,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:27:17
corona,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:27:17
northampton,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:27:17
whitehall,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:27:17
somerville,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:27:17
