Location,Bad signal ,internet ,Status,Provider,Source,Date collected,Time collected
boise,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:32
houston,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:32
phoenix,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:32
meridian,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:32
idaho-falls,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:32
pocatello,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:32
rio-rancho,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:32
sioux-city,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:32
prescott,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:32
dallas,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:32
