Location,Bad signal ,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
chicago,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:51
new-york,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:51
dallas,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:51
houston,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:51
san-marcos,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:51
kansas-city,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:51
los-angeles,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:51
brooklyn,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:51
saint-louis,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:51
grand-junction,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:51
