Location,Reports,Status,E-mail,TV,Date/Time collected,Provider,Source,Phone,Internet,Wi-fi,Total Blackout
"Montgomery, AL",1, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Gonzales, LA",1, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Auburn, AL",1, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Alabaster, AL",1, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Smiths Station, AL",1, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Maylene, AL",1, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Norcross, GA",1, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Columbus, GA",1, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"San Francisco, CA",1, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Sunset Valley, TX",1, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Lehi, UT",1, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
"Boise, ID",1, No problems detected ,7.46%,16.42%,Thu 21 Mar 2019 19:12:30,Google-Fiber,Is the service down,1.49%,53.73%,10.45%,10.45%
