Location,mobile phone ,landline internet ,mobile internet ,Status,Provider,Source,Date collected,Time collected
naples,51%,10%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,11:54:55
new-york,51%,10%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,11:54:55
philadelphia,51%,10%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,11:54:55
marco-island,51%,10%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,11:54:55
brooklyn,51%,10%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,11:54:55
charlotte,51%,10%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,11:54:55
sumter,51%,10%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,11:54:55
atlanta,51%,10%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,11:54:55
tampa,51%,10%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,11:54:55
indianapolis,51%,10%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,11:54:55
