Location,phone ,no signal ,mobile internet ,Status,Provider,Source,Date collected,Time collected
los-angeles,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:08
houston,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:08
new-york,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:08
el-centro,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:08
brooklyn,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:08
chicago,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:08
pompano-beach,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:08
salt-lake-city,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:08
dallas,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:08
seattle,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:08
