Location,Bad signal ,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
sumter,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:32
burnsville,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:32
preston,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:32
madison,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:32
cedar-rapids,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:32
marion,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:32
bedford,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:32
monticello,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:32
waterloo,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:32
spruce-pine,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:32
