Location,internet ,Status,Provider,Source,Date collected,Time collected
huntsville,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,11:54:55
charlotte,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,11:54:55
atlanta,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,11:54:55
madison,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,11:54:55
kansas-city,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,11:54:55
orlando,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,11:54:55
phenix-city,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,11:54:55
saint-louis,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,11:54:55
houston,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,11:54:55
dayton,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,11:54:55
