Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Houston, TX",427, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"San Antonio, TX",251, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Chicago, IL",190, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Dallas, TX",148, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Washington, D.C., DC",130, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Atlanta, GA",96, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Los Angeles, CA",85, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Detroit, MI",80, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Orlando, FL",74, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Brooklyn, NY",68, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Nashville, TN",66, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"St. Louis, MO",65, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Denver, CO",64, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"New York City, NY",56, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Charlotte, NC",53, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Phoenix, AZ",53, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Kansas City, MO",51, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Austin, TX",49, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Omaha, NE",49, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Spring, TX",47, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"San Diego, CA",46, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Columbus, OH",43, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Portland, OR",42, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Tampa, FL",41, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Minneapolis, MN",40, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Fort Worth, TX",33, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Indianapolis, IN",31, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Philadelphia, PA",30, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Miami, FL",28, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Pittsburgh, PA",24, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"New Orleans, LA",24, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Hyattsville, MD",23, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Seattle, WA",22, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Jacksonville, FL",21, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"La Mirada, CA",21, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Saint Paul, MN",21, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Lincoln, NE",20, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
"Smyrna, TN",20, Some problems detected ,44.32%,.75%,Thu 21 Mar 2019 11:54:55,Sprint,Is the service down,6.85%,37.65%,3.47%,6.95%
