Location,Bad signal ,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
chicago,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:05
new-york,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:05
dallas,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:05
houston,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:05
san-marcos,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:05
kansas-city,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:05
los-angeles,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:05
brooklyn,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:05
saint-louis,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:05
grand-junction,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:53:05
