Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
chicago,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:28:14
allentown,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:28:14
bethlehem,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:28:14
new-york,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:28:14
washington,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:28:14
easton,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:28:14
corona,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:28:14
northampton,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:28:14
whitehall,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:28:14
somerville,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:28:14
