Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:27:17
bronx,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:27:17
new-york,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:27:17
corona,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:27:17
stamford,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:27:17
newark,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:27:17
bayonne,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:27:17
bridgeport,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:27:17
new-rochelle,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:27:17
wayne,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:27:17
