Location,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
tampa,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:11
dallas,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:11
los-angeles,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:11
long-beach,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:11
carrollton,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:11
chicago,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:11
fort-wayne,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:11
plano,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:11
sarasota,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:11
portland,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:11
