Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
sumter,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:28:14
burnsville,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:28:14
preston,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:28:14
madison,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:28:14
cedar-rapids,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:28:14
marion,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:28:14
bedford,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:28:14
monticello,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:28:14
waterloo,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:28:14
spruce-pine,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:28:14
