Location,Bad signal ,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
tampa,,8%,10%,82%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:51:59
dallas,,8%,10%,82%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:51:59
los-angeles,,8%,10%,82%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:51:59
long-beach,,8%,10%,82%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:51:59
carrollton,,8%,10%,82%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:51:59
chicago,,8%,10%,82%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:51:59
fort-wayne,,8%,10%,82%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:51:59
plano,,8%,10%,82%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:51:59
sarasota,,8%,10%,82%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:51:59
portland,,8%,10%,82%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:51:59
