Location,phone ,no signal ,mobile internet ,Status,Provider,Source,Date collected,Time collected
los-angeles,24%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:27:17
houston,24%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:27:17
new-york,24%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:27:17
el-centro,24%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:27:17
brooklyn,24%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:27:17
chicago,24%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:27:17
pompano-beach,24%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:27:17
salt-lake-city,24%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:27:17
dallas,24%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:27:17
seattle,24%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:27:17
