Location,Status,Provider,Source,Date collected,Time collected
san-francisco,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:15:02
toledo,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:15:02
coalville,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:15:02
san-marcos,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:15:02
riverside,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:15:02
san-diego,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:15:02
petaluma,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:15:02
littleton,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:15:02
urbana,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:15:02
milwaukee,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:15:02
